Cliente;Antena;Sinal(dBm)
Cliente1;Antena1;-53
Cliente2;Antena1;-64
Cliente3;Antena1;-59
Cliente4;Antena2;-81
Cliente5;Antena2;-65
Cliente6;Antena2;-44
Cliente7;Antena2;-80
Cliente8;Antena2;-60
Cliente9;Antena3;-51
Cliente10;Antena1;-68
Cliente11;Antena3;-51
Cliente12;Antena3;-46
Cliente13;Antena17;-52
Cliente14;Antena17;-66
Cliente15;Antena4;-58
Cliente16;Antena4;-58
Cliente17;Antena4;-76
Cliente18;Antena4;-58
Cliente19;Antena4;-65
Cliente20;Antena4;-64
Cliente21;Antena5;-41
Cliente22;Antena6;-75
Cliente23;Antena6;-68
Cliente24;Antena6;-62
Cliente25;Antena6;-62
Cliente26;Antena4;-66
Cliente27;Antena7;-58
Cliente28;Antena10;-54
Cliente29;Antena12;-62
Cliente30;Antena7;-63
Cliente31;Antena8;-51
Cliente32;Antena9;-75
Cliente33;Antena10;-52
Cliente34;Antena11;-64
Cliente35;Antena11;-56
Cliente36;Antena11;-55
Cliente37;Antena7;-53
Cliente38;Antena12;-49
Cliente39;Antena12;-74
Cliente40;Antena12;-54
Cliente41;Antena12;-63
Cliente42;Antena12;-57
Cliente43;Antena12;-57
Cliente44;Antena7;-62
Cliente45;Antena13;-70
Cliente46;Antena14;-64
Cliente47;Antena14;-59
Cliente48;Antena14;-60
Cliente49;Antena14;-67
Cliente50;Antena14;-48
Cliente51;Antena15;-61
Cliente52;Antena15;-64
Cliente53;Antena15;-60
Cliente54;Antena16;-57
Cliente55;Antena16;-75
