Cliente;Antena;Sinal(dBm)
Cliente1;Antena3;-42
Cliente2;Antena3;-59
Cliente3;Antena3;-58
Cliente4;Antena3;-80
Cliente5;Antena2;-65
Cliente6;Antena2;-44
Cliente7;Antena2;-80
Cliente8;Antena2;-60
Cliente9;Antena3;-51
Cliente10;Antena3;-66
Cliente11;Antena3;-51
Cliente12;Antena3;-46
Cliente13;Antena4;-42
Cliente14;Antena4;-58
Cliente15;Antena4;-58
Cliente16;Antena4;-58
Cliente17;Antena6;-72
Cliente18;Antena4;-58
Cliente19;Antena4;-65
Cliente20;Antena4;-64
Cliente21;Antena5;-41
Cliente22;Antena12;-67
Cliente23;Antena12;-61
Cliente24;Antena12;-57
Cliente25;Antena12;-55
Cliente26;Antena7;-53
Cliente27;Antena12;-57
Cliente28;Antena10;-54
Cliente29;Antena7;-55
Cliente30;Antena12;-61
Cliente31;Antena8;-51
Cliente32;Antena9;-75
Cliente33;Antena10;-52
Cliente34;Antena11;-64
Cliente35;Antena11;-56
Cliente36;Antena11;-55
Cliente37;Antena12;-50
Cliente38;Antena7;-44
Cliente39;Antena12;-74
Cliente40;Antena12;-54
Cliente41;Antena7;-60
Cliente42;Antena13;-50
Cliente43;Antena12;-57
Cliente44;Antena12;-41
Cliente45;Antena7;-65
Cliente46;Antena14;-64
Cliente47;Antena14;-59
Cliente48;Antena14;-60
Cliente49;Antena14;-67
Cliente50;Antena14;-48
Cliente51;Antena15;-61
Cliente52;Antena15;-64
Cliente53;Antena15;-60
Cliente54;Antena16;-57
Cliente55;Antena15;-71
